carnet_estudiante,nombre,curso,creditos,costo_credito
2020123456,Juan Perez,IC1400,4,15000.0
2020123456,Juan Perez,IC2001,4,15000.0
2020123456,Juan Perez,IC3002,4,18000.0
2021123457,Ana Lopez,IC1802,3,18000.0
2021123457,Ana Lopez,IC2101,3,16000.0
2021123457,Ana Lopez,IC3101,3,17500.0
2022123458,Carlos Ruiz,IC2001,4,15000.0
2022123458,Carlos Ruiz,IC2401,4,15000.0
2022123458,Carlos Ruiz,IC3202,4,16000.0
2023123459,Laura Mora,IC2101,3,16000.0
2023123459,Laura Mora,IC2501,3,16500.0
2023123459,Laura Mora,IC3301,3,17000.0
2020123460,Pedro Vargas,IC2201,4,15500.0
2020123460,Pedro Vargas,IC3002,4,18000.0
2020123460,Pedro Vargas,IC3401,4,18000.0
2022437816,Luis Trejos,IC4301,8,80000.0
